ret,0x5,expr,2,GetLocaleInfo,,,,,,,,
var,3,0x14e,1,1,SendDlgItemMessage,,,,,,,
var,var,0x0,0x3,var,RegOpenKeyEx,,,,,,,
0x0,PTR,PTR,8,0x80000000,8,8,8,mem,1,mem,1,CreateWindowEx
0x900,mem,expr,0x400,var,1,var,FormatMessage,,,,,
ret,0x0,3,HeapAlloc,,,,,,,,,
ret,PTR,var,var,0x0,1,4,2,var,1,mem,1,CreateWindowEx
0x80000002,PTR,0x0,var,var,RegOpenKeyEx,,,,,,,
0x0,var,0x0,var,var,RegOpenKeyEx,,,,,,,
mem,3,1,1,PostMessage,,,,,,,,
0x0,0x0,expr,8,expr,3,1,1,WideCharToMultiByte,,,,
0x80000002,var,0x0,0x9,var,RegOpenKeyEx,,,,,,,
var,ret,1,1,1,var,RegQueryValueEx,,,,,,
var,3,0x143,1,var,SendDlgItemMessage,,,,,,,
mem,0x0,3,HeapAlloc,,,,,,,,,
var,var,0x146,1,1,SendDlgItemMessage,,,,,,,
PTR,1,0x3,PTR,expr,CoCreateInstance,,,,,,,
0x0,PTR,1,var,expr,var,RegQueryValueEx,,,,,,
mem,4,mem,CheckDlgButton,,,,,,,,,
mem,0x0,1,1,expr,var,0x16,SetWindowPos,,,,,
mem,var,1,var,mem,mem,RegSetValueEx,,,,,,
var,0x40000000,0x0,1,0x3,0x4,1,CreateFile,,,,,
mem,var,var,0x40,MessageBox,,,,,,,,
0x409,0x1,expr,8,PTR,8,CompareString,,,,,,
0x7f,0x1,mem,expr,var,expr,CompareString,,,,,,
var,4,var,SetDlgItemText,,,,,,,,,
mem,0x8,2,HeapAlloc,,,,,,,,,
mem,3,0xc5,1,1,SendDlgItemMessage,,,,,,,
mem,0x0,1,1,1,ret,0x4,SetWindowPos,,,,,
mem,mem,0x0,var,expr,RegOpenKeyEx,,,,,,,
ret,0x8,2,HeapAlloc,,,,,,,,,
0x80000002,mem,0x0,0x1,var,RegOpenKeyEx,,,,,,,
0x409,0x1,expr,reg,PTR,reg,CompareString,,,,,,
0x0,1,1,0x1,var,ret,RegSetValueEx,,,,,,
0x1,0x0,var,8,ret,expr,MultiByteToWideChar,,,,,,
mem,3,0x1,CheckDlgButton,,,,,,,,,
mem,var,2,var,1,ReadFile,,,,,,,
mem,3,1,ret,PostMessage,,,,,,,,
mem,0x0,3,HeapAlloc,,,,,,,,,
0x0,0x8,ret,ret,expr,ret,MultiByteToWideChar,,,,,,
var,3,mem,SetDlgItemText,,,,,,,,,
mem,0x630009,var,2,var,var,1,ret,DeviceIoControl,,,,
var,3,0x1,CheckDlgButton,,,,,,,,,
var,0x1,0x7,1,0x3,0x2000000,1,CreateFile,,,,,
var,var,1,var,mem,var,RegQueryValueEx,,,,,,
mem,1,expr,2,LoadString,,,,,,,,
0x409,0x1,mem,8,var,8,CompareString,,,,,,
var,mem,0x0,0xf003f,var,RegOpenKeyEx,,,,,,,
0x4,PTR,1,8,0x0,1,2,2,mem,mem,mem,1,CreateWindowEx
mem,var,mem,1,ret,4,expr,1,DeviceIoControl,,,,
reg,1,1,1,0x0,0x20006,1,var,0x0,RegCreateKeyEx,,,
0x500,mem,1,0x0,var,1,var,FormatMessage,,,,,
mem,var,1,var,1,ReadFile,,,,,,,
var,0x5a,expr,1,GetLocaleInfo,,,,,,,,
mem,2,expr,2,LoadString,,,,,,,,
mem,0x0,expr,HeapAlloc,,,,,,,,,
ret,0x5,var,ret,ret,1,MultiByteToWideChar,,,,,,
ret,0x80000000,0x7,1,0x3,0x80,1,CreateFile,,,,,
ret,0x0,var,expr,1,1,1,1,WideCharToMultiByte,,,,
0x0,PTR,1,8,0x80000000,8,8,8,var,1,var,1,CreateWindowEx
0x0,PTR,1,0x3,ret,expr,RegSetValueEx,,,,,,
mem,4,1,1,PostMessage,,,,,,,,
0x900,ret,1,0x400,var,1,1,FormatMessage,,,,,
PTR,1,0x17,PTR,expr,CoCreateInstance,,,,,,,
PTR,1,0x4004,PTR,var,CoCreateInstance,,,,,,,
0x0,PTR,1,1,0x1,0x1,1,var,var,RegCreateKeyEx,,,
var,0x454000,var,2,var,2,var,1,DeviceIoControl,,,,
var,1,0x40004,var,var,CoCreateInstance,,,,,,,
0x80000001,PTR,1,1,0x0,0x20019,1,var,var,RegCreateKeyEx,,,
mem,0x0,mem,1,expr,1,MultiByteToWideChar,,,,,,
0xff,1,var,0x400,var,1,var,FormatMessage,,,,,
var,var,0x0,var,var,RegOpenKeyEx,,,,,,,
mem,4,0x170,var,1,SendDlgItemMessage,,,,,,,
var,0x0,var,8,var,var,MultiByteToWideChar,,,,,,
0x400,0x10,expr,2,GetLocaleInfo,,,,,,,,
mem,0x0,1,1,1,1,0x13,SetWindowPos,,,,,
0x7f,0x1,PTR,8,expr,8,CompareString,,,,,,
var,2,PTR,SetDlgItemText,,,,,,,,,
mem,0x0,1,ret,1,1,1,1,WideCharToMultiByte,,,,
var,1,1,var,1,WriteFile,,,,,,,
var,PTR,1,PTR,0x0,0x2000e,1,var,var,RegCreateKeyEx,,,
var,1,0x5,PTR,var,CoCreateInstance,,,,,,,
0x0,PTR,1,0x1,1,expr,RegSetValueEx,,,,,,
var,0x0,var,var,1,1,1,1,WideCharToMultiByte,,,,
1,ret,PTR,0x10,MessageBox,,,,,,,,
mem,2,var,3,LoadString,,,,,,,,
mem,2,mem,1,SetTimer,,,,,,,,
0x0,PTR,1,0x3,var,mem,RegSetValueEx,,,,,,
mem,0x1,mem,8,mem,8,CompareString,,,,,,
var,mem,1,0x4,var,1,RegSetValueEx,,,,,,
ret,3,2,2,PostMessage,,,,,,,,
ret,var,1,1,var,var,RegQueryValueEx,,,,,,
var,var,1,var,var,var,var,var,var,RegCreateKeyEx,,,
var,1,0x1,PTR,expr,CoCreateInstance,,,,,,,
0x0,0x0,var,ret,var,ret,CompareString,,,,,,
0x80000002,var,0x0,0x10100,var,RegOpenKeyEx,,,,,,,
ret,0x8,6,HeapAlloc,,,,,,,,,
var,3,0xc5,1,1,SendDlgItemMessage,,,,,,,
mem,PTR,1,0x3,mem,mem,RegSetValueEx,,,,,,
ret,0x0,expr,var,1,1,0x5,SetWindowPos,,,,,
mem,3,expr,expr,PostMessage,,,,,,,,
0x80000003,PTR,0x0,0x20019,var,RegOpenKeyEx,,,,,,,
mem,0x0,var,var,1,1,0x5,SetWindowPos,,,,,
var,1,0x0,0x20006,var,RegOpenKeyEx,,,,,,,
ret,var,var,var,1,ReadFile,,,,,,,
0x0,0x0,var,8,expr,ret,1,1,WideCharToMultiByte,,,,
mem,3,var,3,LoadString,,,,,,,,
mem,PTR,1,var,1,var,RegQueryValueEx,,,,,,
0x400,0xe,var,2,GetLocaleInfo,,,,,,,,
var,3,0xc,1,PTR,SendDlgItemMessage,,,,,,,
mem,3,PTR,SetDlgItemText,,,,,,,,,
0x0,0x0,ret,1,var,1,1,1,WideCharToMultiByte,,,,
0x80000000,var,0x0,0x1,var,RegOpenKeyEx,,,,,,,
0x7f,0x0,mem,8,var,8,CompareString,,,,,,
0x2400,var,8,0x0,var,var,var,FormatMessage,,,,,
mem,3,0x0,CheckDlgButton,,,,,,,,,
0x0,0x0,expr,1,1,1,1,1,WideCharToMultiByte,,,,
var,var,mem,CheckDlgButton,,,,,,,,,
0x0,var,0x0,var,var,RegOpenKeyEx,,,,,,,
ret,0x1,ret,1,expr,1,MultiByteToWideChar,,,,,,
var,4,1,var,SendMessage,,,,,,,,
var,0x0,0x3,1,0x3,0x80,1,CreateFile,,,,,
mem,3,0x0,CheckDlgButton,,,,,,,,,
1,var,var,0x51030,MessageBox,,,,,,,,
mem,4,var,3,LoadString,,,,,,,,
var,0xa0000000,0x5,1,0x3,0x80,1,CreateFile,,,,,
mem,var,1,var,expr,var,RegQueryValueEx,,,,,,
var,3,ret,1,PostMessage,,,,,,,,
0x7f,0x1,reg,1,PTR,1,CompareString,,,,,,
0x0,PTR,1,0x3,var,var,RegSetValueEx,,,,,,
ret,0x8,2,HeapAlloc,,,,,,,,,
mem,0x0,reg,expr,expr,reg,MultiByteToWideChar,,,,,,
mem,ret,0x0,0x20019,var,RegOpenKeyEx,,,,,,,
var,PTR,1,1,0x0,0x3,1,var,var,RegCreateKeyEx,,,
mem,expr,1,var,1,WriteFile,,,,,,,
ret,ret,var,var,1,WriteFile,,,,,,,
0x2500,ret,1,0x0,var,1,var,FormatMessage,,,,,
mem,2,PTR,3,LoadString,,,,,,,,
ret,var,0x0,0x3,var,RegOpenKeyEx,,,,,,,
var,0x5a,var,1,GetLocaleInfo,,,,,,,,
mem,expr,mem,var,1,WriteFile,,,,,,,
PTR,1,0x17,PTR,expr,CoCreateInstance,,,,,,,
var,0x534080,1,1,var,3,var,1,DeviceIoControl,,,,
0x0,PTR,1,0x4,expr,1,RegSetValueEx,,,,,,
mem,3,var,var,SendMessage,,,,,,,,
var,var,1,0x7,var,var,RegSetValueEx,,,,,,
mem,mem,0x0,0x1,expr,RegOpenKeyEx,,,,,,,
ret,4,8,1,SendMessage,,,,,,,,
mem,ret,4,1,expr,ReadFile,,,,,,,
0x0,mem,1,0x0,1,1,RegSetValueEx,,,,,,
var,0x560000,1,1,ret,expr,var,1,DeviceIoControl,,,,
0x80000001,PTR,0x0,0x2001f,var,RegOpenKeyEx,,,,,,,
var,2,1,var,SendMessage,,,,,,,,
0x120,PTR,PTR,8,0x0,1,3,3,var,1,mem,1,CreateWindowEx
var,0x0,var,1,expr,1,1,1,WideCharToMultiByte,,,,
var,4,mem,SetDlgItemText,,,,,,,,,
mem,0x8,2,HeapAlloc,,,,,,,,,
0x0,PTR,var,6,0x80000000,1,8,1,1,1,var,1,CreateWindowEx
mem,3,0xcf,1,1,SendDlgItemMessage,,,,,,,
var,var,0x14e,1,1,SendDlgItemMessage,,,,,,,
mem,4,var,var,SendMessage,,,,,,,,
var,3,var,SetDlgItemText,,,,,,,,,
expr,0xc0000000,0x3,1,0x3,0x40000000,1,CreateFile,,,,,
0xfde8,0x0,var,expr,ret,ret,1,1,WideCharToMultiByte,,,,
mem,2,3,1,SetTimer,,,,,,,,
var,4,0x182,mem,1,SendDlgItemMessage,,,,,,,
mem,1,4,1,SetTimer,,,,,,,,
mem,4,var,mem,SendMessage,,,,,,,,
0x0,0x0,var,8,var,1,1,1,WideCharToMultiByte,,,,
0x0,PTR,var,8,expr,expr,2,2,mem,3,1,1,CreateWindowEx
var,4,ret,SetDlgItemText,,,,,,,,,
1,2,var,2,LoadString,,,,,,,,
PTR,0xc0000000,0x3,1,0x3,0x0,1,CreateFile,,,,,
var,3,mem,1,PostMessage,,,,,,,,
0x0,0x0,var,8,var,2,MultiByteToWideChar,,,,,,
0x3,0x0,var,var,1,1,1,1,WideCharToMultiByte,,,,
ret,var,1,var,var,ReadFile,,,,,,,
0x0,0x0,var,ret,var,var,MultiByteToWideChar,,,,,,
mem,var,1,var,1,ReadFile,,,,,,,
var,1,mem,0x30,MessageBox,,,,,,,,
PTR,1,0x17,PTR,ret,CoCreateInstance,,,,,,,
expr,0xc0000000,0x0,1,0x4,0x10000000,1,CreateFile,,,,,
ret,expr,2,var,1,ReadFile,,,,,,,
0x80000002,var,0x0,0x108,var,RegOpenKeyEx,,,,,,,
mem,3,var,SetDlgItemText,,,,,,,,,
0x80000001,ret,0x0,0x1,var,RegOpenKeyEx,,,,,,,
0x0,0x0,var,8,var,3,MultiByteToWideChar,,,,,,
0xfde9,0x0,var,8,var,2,1,1,WideCharToMultiByte,,,,
0x0,0x0,mem,1,1,1,1,1,WideCharToMultiByte,,,,
var,2,PTR,SetDlgItemText,,,,,,,,,
expr,0x5c,PTR,2,GetLocaleInfo,,,,,,,,
var,1,1,0x1,PTR,1,RegSetValueEx,,,,,,
mem,3,PTR,SetDlgItemText,,,,,,,,,
var,4,0x195,expr,1,SendDlgItemMessage,,,,,,,
0x0,0x0,mem,expr,1,1,1,1,WideCharToMultiByte,,,,
var,3,mem,CheckDlgButton,,,,,,,,,
mem,3,var,SetDlgItemText,,,,,,,,,
mem,2,0x143,1,var,SendDlgItemMessage,,,,,,,
mem,mem,mem,mem,mem,1,MultiByteToWideChar,,,,,,
var,0xffffffff,expr,expr,1,1,0x15,SetWindowPos,,,,,
ret,4,mem,PTR,SendMessage,,,,,,,,
ret,2,1,1,SetTimer,,,,,,,,
1,1,6,1,SetTimer,,,,,,,,
mem,0x0,1,1,var,expr,0x16,SetWindowPos,,,,,
0xb00,ret,var,0x0,var,1,1,FormatMessage,,,,,
var,var,var,var,var,var,MultiByteToWideChar,,,,,,
var,0x0,1,1,1,1,0x87,SetWindowPos,,,,,
1,ret,ret,0x10,MessageBox,,,,,,,,
var,2,var,SetDlgItemText,,,,,,,,,
mem,0x0,1,1,1,1,0x7f,SetWindowPos,,,,,
mem,0xc0000000,0x0,1,0x3,0x0,1,CreateFile,,,,,
var,4,0x1,CheckDlgButton,,,,,,,,,
0x400,var,1,0x0,ret,3,var,FormatMessage,,,,,
mem,2,var,3,LoadString,,,,,,,,
ret,2,1,1,PostMessage,,,,,,,,
0x7f,0x1,ret,8,PTR,8,CompareString,,,,,,
mem,ret,mem,0xf89,MessageBox,,,,,,,,
var,4,0x0,CheckDlgButton,,,,,,,,,
0x0,PTR,1,var,reg,var,RegQueryValueEx,,,,,,
mem,3,1,1,PostMessage,,,,,,,,
0x80000001,expr,0x0,0x20019,var,RegOpenKeyEx,,,,,,,
0x0,0x1,ret,var,1,var,MultiByteToWideChar,,,,,,
0x409,0x1,ret,8,mem,8,CompareString,,,,,,
0x0,0x0,ret,ret,var,var,MultiByteToWideChar,,,,,,
var,0x1,ret,1,var,var,MultiByteToWideChar,,,,,,
mem,0x0,2,HeapAlloc,,,,,,,,,
0x0,0x4,var,expr,ret,expr,MultiByteToWideChar,,,,,,
mem,0x0,1,HeapAlloc,,,,,,,,,
var,0x80000000,0x1,1,0x3,0x1,1,CreateFile,,,,,
ret,var,reg,HeapAlloc,,,,,,,,,
var,var,0x143,1,var,SendDlgItemMessage,,,,,,,
mem,4,ret,SetDlgItemText,,,,,,,,,
0x0,0x0,expr,1,1,1,1,1,WideCharToMultiByte,,,,
0x0,mem,1,1,0x0,0x2001f,1,var,0x0,RegCreateKeyEx,,,
mem,4,var,3,LoadString,,,,,,,,
ret,1,1,1,SendMessage,,,,,,,,
0x80000002,PTR,0x0,0x10,var,RegOpenKeyEx,,,,,,,
0x0,PTR,1,0x2,var,2,RegSetValueEx,,,,,,
var,PTR,1,var,expr,var,RegQueryValueEx,,,,,,
var,0x59,reg,1,GetLocaleInfo,,,,,,,,
mem,mem,expr,expr,1,1,0x12,SetWindowPos,,,,,
mem,4,1,1,PostMessage,,,,,,,,
reg,var,1,0x30,MessageBox,,,,,,,,
0x0,0x0,mem,1,1,1,1,1,WideCharToMultiByte,,,,
var,4,var,SetDlgItemText,,,,,,,,,
mem,3,2,1,SetTimer,,,,,,,,
0x0,PTR,1,0x1,PTR,2,RegSetValueEx,,,,,,
ret,0x8,1,HeapAlloc,,,,,,,,,
ret,mem,1,var,1,WriteFile,,,,,,,
0x80000002,PTR,1,1,0x0,0x2011f,1,var,var,RegCreateKeyEx,,,
mem,0x0,1,expr,var,var,0x40,SetWindowPos,,,,,
0x1900,ret,var,0x0,var,1,var,FormatMessage,,,,,
ret,0x0,3,HeapAlloc,,,,,,,,,
0x0,mem,mem,mem,mem,mem,1,1,ret,mem,mem,var,CreateWindowEx
ret,2,2,1,SendMessage,,,,,,,,
var,0x8,var,var,ret,var,MultiByteToWideChar,,,,,,
var,0x1004,var,1,GetLocaleInfo,,,,,,,,
0x80000000,mem,1,1,0x0,0x2001f,1,var,0x0,RegCreateKeyEx,,,
var,3,0x14a,8,var,SendDlgItemMessage,,,,,,,
0x7f,0x1,expr,1,PTR,1,CompareString,,,,,,
0x400,0xe,expr,1,GetLocaleInfo,,,,,,,,
var,3,5,expr,PostMessage,,,,,,,,
1,var,expr,var,1,WriteFile,,,,,,,
mem,0x2,0x0,1,0x1,0x4000000,1,CreateFile,,,,,
ret,4,var,3,LoadString,,,,,,,,
0x80000002,var,0x0,0x104,var,RegOpenKeyEx,,,,,,,
0x0,1,1,var,mem,var,RegQueryValueEx,,,,,,
ret,0x8,1,HeapAlloc,,,,,,,,,
expr,mem,mem,1,0x3,mem,1,CreateFile,,,,,
expr,0x80000000,0x7,1,0x3,0x8000000,1,CreateFile,,,,,
expr,0x80000000,0x1,1,0x3,0x0,1,CreateFile,,,,,
mem,expr,1,expr,1,ReadFile,,,,,,,
var,3,0x0,CheckDlgButton,,,,,,,,,
0x0,var,1,1,0x0,0x2001f,1,var,var,RegCreateKeyEx,,,
0x0,0x0,var,1,expr,ret,MultiByteToWideChar,,,,,,
ret,1,3,1,SetTimer,,,,,,,,
var,var,0x148,var,ret,SendDlgItemMessage,,,,,,,
var,var,var,var,var,var,0x205,SetWindowPos,,,,,
0x1200,1,expr,0x0,var,3,1,FormatMessage,,,,,
var,1,0x17,PTR,expr,CoCreateInstance,,,,,,,
ret,ret,1,var,var,WriteFile,,,,,,,
var,var,var,var,var,var,var,CreateFile,,,,,
mem,1,var,SetDlgItemText,,,,,,,,,
0x3,0x0,1,ret,1,1,MultiByteToWideChar,,,,,,
1,0x80,0x7,1,0x3,0x40000000,1,CreateFile,,,,,
0x400,0x20001010,expr,1,GetLocaleInfo,,,,,,,,
ret,3,1,1,SendMessage,,,,,,,,
var,PTR,1,var,expr,var,RegQueryValueEx,,,,,,
0x1800,ret,var,0x0,expr,3,var,FormatMessage,,,,,
var,0x100081,0x7,ret,0x3,0x2000000,ret,CreateFile,,,,,
var,var,0x0,0xf003f,var,RegOpenKeyEx,,,,,,,
0x0,var,0x0,0x20119,var,RegOpenKeyEx,,,,,,,
0x800,ret,var,0x0,var,var,var,FormatMessage,,,,,
var,3,0x0,CheckDlgButton,,,,,,,,,
mem,var,var,0x10,MessageBox,,,,,,,,
mem,3,0x1074,ret,var,SendDlgItemMessage,,,,,,,
ret,0x0,1,1,1,1,0x80,SetWindowPos,,,,,
mem,var,0x0,CheckDlgButton,,,,,,,,,
PTR,1,0x5,PTR,var,CoCreateInstance,,,,,,,
var,mem,0x0,0x20019,PTR,RegOpenKeyEx,,,,,,,
